Cicek Lokantasi,Turkish/Vegetarian Friendly/Halal/,217,116,4.0,39.90974,32.79848,552,3453090
VIP (Venice Italian Pizza),Italian/,98,23,4.5,40.01512,32.53775,1912,12638392
Yildiz Aspava,Turkish/,237,41,4.5,39.9183,32.817165,200,3448312
Villa Restaurant,,439,63,4.0,39.90337,32.863537,694,8521495
Guangzhou Wuyang,Chinese/Asian/Vegetarian Friendly/Vegan Options/,278,98,4.0,39.90641,32.859886,497,2684434
Cici Piknik,Turkish/,293,82,4.0,39.91974,32.851116,408,8600559
Hamlakit Restaurant,,285,79,4.0,39.788555,32.8053,1144,10343512
Barba Piru,Wine Bar/,159,10,5.0,39.926636,32.867496,782,25084467
Salas Meyhane,,212,54,4.0,39.911217,32.857918,535,12035406
Cezzar Steakhouse,Steakhouse/,288,140,3.5,39.863018,32.854176,877,13153204
Rumeli,Turkish/,344,64,4.0,39.921745,32.8572,678,6939329
Quick China Cayyolu,Chinese/,213,62,4.0,39.871487,32.679764,1131,2568708
Devrez Durum Evi,Turkish/Middle Eastern/Soups/Halal/,282,77,4.0,39.90507,32.868095,691,2678784
Beykoz Iskembe & Paca,Turkish/,255,94,4.0,39.884865,32.853413,621,3350442
Big Chefs,European/International/Vegetarian Friendly/Vegan Options/,210,124,4.0,39.89766,32.86365,684,3339672
Masabasi Kebapcisi,Barbecue/Turkish/,260,32,4.0,40.04998,32.83962,1844,15835329
Duveroglu,Turkish/Halal/,210,193,3.5,39.891445,32.70197,811,4728797
Ekrem Usta,Middle Eastern/,225,82,4.0,39.895786,32.679703,891,12946651
Kofteci Yusuf,Asian/Turkish/Diner/Steakhouse/,244,96,4.0,39.962025,32.769306,912,11435980
Kajun Bring More,Turkish/,87,49,4.5,39.916733,32.85803,635,15088347
Selami Usta,Turkish/,225,53,4.5,39.868183,32.85678,1003,7907499
Germec pilic,Turkish/,257,77,4.0,39.928204,32.84366,497,803355
Kunefeci Muallim,,246,59,4.0,39.906887,32.82095,287,9716533
Zozo,Turkish/,291,35,4.5,39.868725,32.857933,969,5606405
hacI baba,Turkish/Middle Eastern/Halal/,210,75,4.0,39.92647,32.85468,444,866370
Cahit Usta,Turkish/,182,30,4.5,39.90373,32.81674,289,6419977
NazIm usta HacIbayram donercisi,,266,69,4.0,39.943054,32.85729,831,8846955
Ulucay Tantuni,Turkish/,197,24,4.5,39.931847,32.717644,947,19505775
Kozbiber Ocakbasi,Barbecue/,432,23,4.5,39.91416,32.807976,515,15748006
Orka Balik Restaurant,,270,16,5.0,39.896942,32.8675,638,12318332
Antakya 326 Doner,Turkish/,205,17,4.5,39.90938,32.86323,589,14918213
That's Burger,,295,31,4.5,39.94271,32.814674,695,8524679
Etna Pizzeria,Pizza/,264,17,4.5,39.89475,32.816864,370,13955282
Grano Coffee & Sandwiches,Turkish/,219,29,4.5,39.91748,32.81676,290,7390221
Hamlakit Restaurant,,214,35,4.5,39.76214,32.73004,1322,10409265
Meshur Tavaci Recep Usta,Turkish/,279,29,4.5,39.95156,32.91604,1007,2675007
Uludag Kebapcisi,Turkish/,241,13,5.0,39.89411,32.86688,563,17343509
Zaytung Zone,Italian/Mexican/American/Turkish/,233,54,4.0,39.91869,32.855907,725,8686392
HMBRGR Gordion AVM,Fast Food/,223,59,4.0,39.889263,32.690434,930,8529082
Dayi'nin Yeri,Steakhouse/Turkish/Halal/,275,199,3.5,39.892277,32.82549,529,3461188
Aylak Madam,Turkish/,218,57,4.0,39.91373,32.85576,516,815011
Loophole Booze Bite & Fun,Pizza/International/Grill/Pub/Gastropub/,215,41,4.0,39.931118,32.829952,303,11801903
Tarabya BalIkcIsI,Seafood/,232,12,5.0,39.897755,32.866863,650,19424900
Feslegenli Meyhane,Turkish/,281,37,4.5,39.8724,32.860474,891,11961769
Sehir Kebapcisi,Turkish/,399,58,4.0,39.908474,32.744267,709,12124230
Simsek Aspava - Sezenler,Turkish/Halal/,104,83,4.0,39.92536,32.85206,423,8138544
UrfalI Haci Mehmet,Turkish/,281,58,4.0,39.94091,32.8554,753,3350923
Dost Meclisi Aramizda,Turkish/,100,13,5.0,39.867138,32.857292,919,20307726
52 Ciger,Turkish/Steakhouse/,237,54,4.0,39.919495,32.816463,236,2670707
And Cafe,Cafe/European/Turkish/,219,61,4.0,39.93905,32.864445,944,2670750
Ozler Doner,Turkish/,246,58,4.0,39.909763,32.75536,638,3584311
Ozge Piknik,Fast Food/,276,32,4.0,39.922512,32.850628,502,2672799
Besi Balik Pisirme,Seafood/,94,37,4.0,39.92195,32.85545,660,9608475
Volkan Piknik,Fast Food/,223,39,4.5,39.922703,32.85092,514,2256512
Doney Usta,Middle Eastern/,412,15,4.5,39.902065,32.8186,380,10509001
KaburgacI Hakan Usta,Turkish/,118,19,4.0,39.926636,32.867496,782,23928007
Quick China Gaziosmanpasa,Chinese/Japanese/Sushi/Asian/Vegetarian Friendly/,227,184,4.0,39.89593,32.878002,762,806175
Federal Coffee Company,,216,47,4.0,39.914124,32.808308,482,10522767
Bizim Kofteci Pide Salonu,Turkish/,280,25,4.5,39.94782,32.59652,1737,2672454
Kebap 44,Turkish/,297,48,4.0,39.90781,32.85461,500,3373851
Konyali Kebap,,263,39,4.0,39.955524,32.907665,976,2679263
Verde BalIk Restoran,Mediterranean/Seafood/,266,9,5.0,39.907707,32.75975,617,24032645
Esposito's,Pizza/Vegetarian Friendly/,250,37,4.0,39.87056,32.68081,1132,7318783
Antakiya Kunefe,,442,12,5.0,39.98456,32.85467,991,17380352
Buta Baku Restaurant,Turkish/Azerbaijani/,259,27,4.5,39.957413,32.739895,1072,15843197
Sargus Seafood & More,Seafood/Belgian/European/,233,17,4.5,39.8944,32.868988,603,23839462
Republique Gastro Pub,Mexican/Fast Food/Mediterranean/Turkish/Pub/Gastropub/,200,9,5.0,39.905792,32.860355,516,23775918
Meysef,Seafood/Mediterranean/,271,8,5.0,39.90885,32.858917,417,23568200
Gramofon Cafe,Cafe/Turkish/,98,62,4.0,39.93641,32.863907,779,3494426
NYPD Pizza,Pizza/,252,27,4.0,39.921627,32.84406,361,2684428
Coffee Craft Town,Cafe/,207,46,4.0,39.895836,32.70505,804,12124111
Waffle Corner,,157,25,4.5,39.89664,32.86479,650,2681483
Hayyami,Wine Bar/,212,57,4.0,39.906967,32.86006,483,2676916
Cafe Del Mundo,Bar/Cafe/Pub/Vegetarian Friendly/,228,68,4.0,39.903996,32.86225,663,6367277
Bonapple,American/Cafe/European/Turkish/Healthy/,288,32,4.5,39.90997,32.8587,469,13337054
Suha's Restaurant,Turkish/,257,40,4.0,39.91321,32.859596,571,2681662
Kafes Firin Sogutozu,Cafe/Vegetarian Friendly/Halal/,276,170,3.5,39.909252,32.790054,447,4141923
Koroglu Iskembecisi ve Restaurant,Turkish/,285,64,4.0,39.903168,32.81026,399,2677302
Mutlu Kebap,,117,25,4.5,39.91244,32.85533,475,2673388
Meshur Kofteci Sahin-Mustafa (Sahin usta),Turkish/,264,30,4.0,39.948242,32.85288,764,7986119
